IID	SplN_Kaifeng-GH_2020_Natural_Fertile
WATDE0933	16.00
WATDE0934	3.00
WATDE0935	NA
WATDE0937	17.67
WATDE0938	19.67
WATDE0939	18.11
WATDE0941	22.33
WATDE0944	21.78
WATDE0945	19.67
WATDE0947	NA
WATDE0950	NA
WATDE0951	11.00
WATDE0952	NA
WATDE0953	21.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	12.00
WATDE0961	21.67
WATDE0963	20.22
WATDE0965	9.00
WATDE0966	24.33
WATDE0967	23.20
WATDE0969	10.75
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	20.33
WATDE0979	18.00
WATDE0981	15.33
WATDE0982	NA
WATDE0983	20.33
WATDE0984	15.38
WATDE0986	13.00
WATDE0987	17.00
WATDE0989	1.00
WATDE0991	16.22
WATDE0993	14.00
WATDE0995	18.78
WATDE0996	NA
WATDE0997	19.33
WATDE0999	18.50
WATDE1001	20.00
WATDE1002	19.00
WATDE1003	14.00
WATDE1004	24.00
WATDE1005	21.00
WATDE1008	NA
WATDE1009	20.43
WATDE1010	28.33
WATDE1012	19.00
WATDE1014	20.67
WATDE1016	17.00
WATDE1017	13.50
WATDE1018	17.67
WATDE1019	NA
WATDE1021	25.33
WATDE1023	20.00
WATDE1025	14.00
WATDE1026	16.00
WATDE1027	3.00
WATDE1029	NA
WATDE1031	20.00
WATDE1032	17.67
WATDE1034	NA
WATDE1035	22.00
WATDE1037	22.00
WATDE1038	8.20
WATDE1040	19.00
WATDE1042	12.33
WATDE1044	17.00
WATDE1046	11.11
WATDE1048	20.00
WATDE1049	23.00
WATDE1050	NA
WATDE1051	18.89
WATDE1052	19.50
WATDE1053	NA
WATDE1055	28.50
WATDE1056	19.50
WATDE1058	19.33
WATDE1060	19.89
WATDE1061	6.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
