IID	GrnSpl_Kaifeng-GH_2020_Natural
WATDE1025	2.67
WATDE1026	3.89
WATDE1027	1.00
WATDE1029	NA
WATDE1031	2.67
WATDE1032	3.17
WATDE1034	NA
WATDE1035	4.33
WATDE1037	4.00
WATDE1038	3.20
WATDE1040	3.67
WATDE1042	2.33
WATDE1044	4.50
WATDE1046	4.00
WATDE1048	4.67
WATDE1049	2.00
WATDE1050	NA
WATDE1051	3.11
WATDE1052	3.00
WATDE1053	NA
WATDE1055	3.00
WATDE1056	3.50
WATDE1058	3.33
WATDE1060	2.44
WATDE1061	2.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
